item_id	A_exp	A_imp	B_exp	B_imp	target_region
3	Gary's toddler Leah loves playing outside in summer. Leah always forgets to put on sunscreen. Therefore, she gets sunburned all the time.	Gary's toddler Leah loves playing outside in summer. Leah always forgets to put on sunscreen. She gets sunburned all the time.	Gary's toddler Leah loves to be in the garden in summer. Leah is always playing outside. Therefore, she gets sunburned all the time.	Gary's toddler Leah loves to be in the garden in summer. Leah is always playing outside. She gets sunburned all the time.	gets sunburned
4	George was discussing food habits with his cousin Tracy. Tracy had decided to lose weight. Therefore, she started a diet last month.	George was discussing food habits with his cousin Tracy. Tracy had decided to lose weight. She started a diet last month.	George was discussing lifestyle matters with his cousin Tracy. Tracy was diagnosed with diabetes recently. Therefore, she started a diet last month.	George was discussing lifestyle matters with his cousin Tracy. Tracy was diagnosed with diabetes recently. She started a diet last month.	started a diet
5	Finn and Daisy were taking a walk on the beach early in the morning. Daisy was wearing a thin top. Therefore, she felt chilly at first.	Finn and Daisy were taking a walk on the beach early in the morning. Daisy was wearing a thin top. She felt chilly at first.	Finn and Daisy were taking a walk on the beach early in the morning. Daisy was wearing a summer dress. Therefore, she felt chilly at first.	Finn and Daisy were taking a walk on the beach early in the morning. Daisy was wearing a summer dress. She felt chilly at first.	felt chilly
7	Gabe had just arrived in Miami for a business trip. He felt very tired from his flight. Therefore, he took a nap at the hotel.	Gabe had just arrived in Miami for a business trip. He felt very tired from his flight. He took a nap at the hotel.	Gabe was in Miami for a business trip. He had an event in the evening. Therefore, he took a nap at the hotel.	Gabe was in Miami for a business trip. He had an event in the evening. He took a nap at the hotel.	took a nap
9	Tony's colleagues asked him to join them on a whiskey tasting. Tony had stopped drinking alcohol. Therefore, he declined to join them politely.	Tony's colleagues asked him to join them on a whiskey tasting. Tony had stopped drinking alcohol. He declined to join them politely.	Tony's colleagues asked him to join them on a whiskey tasting. Tony saw it was outside the city. Therefore, he declined to join them politely.	Tony's colleagues asked him to join them on a whiskey tasting. Tony saw it was outside the city. He declined to join them politely.	declined to join them
10	Jack was at a party his friends had invited him to. Jack had an important interview the next morning. Therefore, he went home early around ten.	Jack was at a party his friends had invited him to. Jack had an important interview the next morning. He went home early around ten.	Jack was at a party his friends had invited him to. Jack did not like the music that the band played. Therefore, he went home early around ten.	Jack was at a party his friends had invited him to. Jack did not like the music that the band played. He went home early around ten.	went home early
11	Julia's mom was telling her about their cousin Frank. Frank finally got out of his depression. Therefore, he is feeling much better at the moment.	Julia's mom was telling her about their cousin Frank. Frank finally got out of his depression. He is feeling much better at the moment.	Julia's mom was telling her about their cousin Frank. Frank went on a meditation retreat. Therefore, he is feeling much better at the moment.	Julia's mom was telling her about their cousin Frank. Frank went on a meditation retreat. He is feeling much better at the moment.	is feeling much better
13	Aisha was hiking in the forest. She had forgotten to pack lunch. Therefore, she was very hungry by two o'clock.	Aisha was hiking in the forest. She had forgotten to pack lunch. She was very hungry by two o'clock.	Aisha was hiking in the forest. She had left early in the morning. Therefore, she was very hungry by two o'clock.	Aisha was hiking in the forest. She had left early in the morning. She was very hungry by two o'clock.	was very hungry
14	Robyn is a trained hairdresser. She always wanted to be her own boss. Therefore, she plans to open a salon of her own.	Robyn is a trained hairdresser. She always wanted to be her own boss. She plans to open a salon of her own.	Robyn is a trained hairdresser. She graduated a month ago. Therefore, she plans to open a salon of her own.	Robyn is a trained hairdresser. She graduated a month ago. She plans to open a salon of her own.	plans to open a salon
15	Angela used to live in a small flat in Atlanta. She didn't pay rent for months. Therefore, she was evicted by her landlord.	Angela used to live in a small flat in Atlanta. She didn't pay rent for months. She was evicted by her landlord.	Angela used to live in a small flat in Atlanta. She had over fifteen cats. Therefore, she was evicted by her landlord.	Angela used to live in a small flat in Atlanta. She had over fifteen cats. She was evicted by her landlord.	was evicted
